stop_id,stop_name,stop_lat,stop_lon
24626187,campkigali,-1.943460,30.057250
24626202,chuk,-1.941428,30.058161
24626203,Unknown,-1.943847,30.061545
24626204,city market,-1.944546,30.062020
24626205,plaza,-1.947842,30.070749
24626206,Unknown,-1.969007,30.084021
24626207,rwandex,-1.968083,30.088807
24626208,Unknown,-1.968500,30.095410
24626209,Unknown,-1.969053,30.100769
24626210,sonatube,-1.967341,30.102729
24626211,Unknown,-1.964834,30.104959
24626212,Unknown,-1.961905,30.110838
24626213,Remera bus station,-1.958278,30.118838
24729979,q Kigali stop,-1.943460,30.057250
24729991,chuk,-1.942531,30.056084
24729992,Notre Dame stop,-1.941267,30.058978
24729993,ku nkurunziza stop,-1.943847,30.061545
24729994,city market,-1.944531,30.061820
24729995,city plaza,-1.945343,30.064857
24729996,ape rugunga stop,-1.961404,30.077249
24729997,mironko stop,-1.969466,30.086074
24729998,rwandex stop,-1.968762,30.096539
24729999,amasezerano stop,-1.967604,30.102538
24730000,Cher stop,-1.967341,30.102729
24730001,sonatubes,-1.964297,30.105688
24730002,Goodyear,-1.963293,30.108569
24730003,prince house,-1.961457,30.112012
24730004,remera bus park,-1.958278,30.118838
22907889,remera park,-1.958855,30.119324
22907890,sonatube,-1.967943,30.101959
22907891,rwandex,-1.969180,30.086884
22907892,Unknown,-1.950543,30.072828
22907893,payage,-1.945913,30.066772
22907894,rubangura,-1.943545,30.061300
22907895,downtown,-1.943750,30.057247
22907896,gacingiro,-1.948400,30.056200
22907897,meteo,-1.955300,30.058165
22907898,campkigali,-1.956217,30.058655
24727495,remera bus park,-1.959267,30.119753
24727496,sonatubes stop,-1.967280,30.091096
24727497,Cher stop,-1.967607,30.082885
24727498,rwandex stop,-1.963786,30.078658
24727499,Mironko stop,-1.957929,30.076440
24727500,q Zaire stop,-1.955034,30.073911
24727501,ku mazi stop,-1.953464,30.073681
24727502,St paul,-1.944199,30.062353
24727503,rubangura stop,-1.943086,30.059647
24727504,down town bus stop,-1.943069,30.056848
24727505,Unknown,-1.943499,30.057254
22466899,kabuga gare,-1.979207,30.223349
22466900,murindi,-1.971060,30.175537
22466901,15,-1.965870,30.161610
22466902,prince house,-1.960127,30.115316
22466903,sonatube,-1.966493,30.102970
22466904,rwandex,-1.967478,30.088961
22466905,kanzayire,-1.963148,30.078022
22466906,kinamba,-1.943455,30.071554
22466907,kumagare,-1.935627,30.061035
22466908,nyabugogo,-1.940763,30.044460
22568034,kabuga,-1.979257,30.223343
22568035,murindi,-1.954318,30.140244
22568036,Unknown,-1.959376,30.130780
22568037,good year,-1.968079,30.088634
22568038,sonatube,-1.969097,30.084261
22568039,kumasezerano,-1.964163,30.079319
22568040,rwandex,-1.957168,30.076016
22568041,kwamironko,-1.949851,30.074710
22568042,kumazi,-1.943565,30.071638
22568043,kinamba1,-1.935529,30.060346
22568044,Unknown,-1.937108,30.051241
22568045,kumagare,-1.938660,30.048676
22568046,nyabugogo park,-1.940728,30.044823
22557967,Nyabugogo bus park,-1.940804,30.044285
22557968,Rwandex bus stop,-1.969374,30.086677
22557969,shell bus stop,-1.969143,30.100142
22557970,12 bus stop,-1.954143,30.138285
22557971,Unknown,-1.956104,30.144973
22557972,free zone bus stop,-1.957997,30.150129
22557973,15 bus stop,-1.967145,30.163214
22557974,Mulindi bus stop,-1.971096,30.175435
22557975,Riviera bus stop,-1.983909,30.203970
22557976,bambino bus stop,-1.982251,30.211601
22557977,Kabuga bus park,-1.979271,30.223651
22563431,nyabugogo bus park,-1.940733,30.044921
22563432,free zone,-1.972309,30.177016
22563433,15,-1.978439,30.182101
22563434,kumurindi,-1.985176,30.188315
22563435,Unknown,-1.984874,30.200255
22563436,19,-1.981571,30.207437
22563437,kabuga bus park,-1.979350,30.223740
22545180,Rubirizi,-1.983013,30.132363
22545181,Unknown,-1.959442,30.116886
22545182,Unknown,-1.961406,30.111722
22545183,Unknown,-1.964811,30.104306
22545184,Unknown,-1.968523,30.101429
22545185,Unknown,-1.968802,30.097376
22545186,Unknown,-1.967843,30.093469
22545187,Unknown,-1.964157,30.079359
22545188,Unknown,-1.957418,30.076196
22545189,Unknown,-1.954954,30.073875
22545190,Unknown,-1.948396,30.071452
22545191,Unknown,-1.945052,30.063972
22545192,Unknown,-1.943357,30.060964
22545193,Unknown,-1.944683,30.055202
22545194,Unknown,-1.949380,30.056904
22545195,Unknown,-1.955424,30.058145
24761100,Rubirizi,-1.982108,30.132732
24761101,Unknown,-1.970586,30.122812
24761102,Unknown,-1.967469,30.120735
24761103,Unknown,-1.968403,30.101599
24761104,Sonatube,-1.968448,30.095575
24761105,Rwandex,-1.969099,30.084305
24761106,Unknown,-1.946015,30.066975
24761107,Down town,-1.943485,30.057240
22545741,Dawn tawn,-1.958017,30.060526
22545742,Unknown,-1.946963,30.057467
22545743,Unknown,-1.944572,30.058599
22545744,Unknown,-1.968113,30.093893
22545745,Unknown,-1.965732,30.103359
22545746,Unknown,-1.962363,30.120834
22545747,Unknown,-1.966223,30.120211
22545748,Unknown,-1.970262,30.130285
22545749,Unknown,-1.976248,30.134869
22545750,Unknown,-1.978855,30.133848
22545751,Unknown,-1.983150,30.132397
24762308,Down town,-1.944035,30.057161
24762309,Unknown,-1.958082,30.060484
24762310,Unknown,-1.955880,30.061037
24762311,Unknown,-1.946995,30.057491
24762312,Unknown,-1.944612,30.058622
24762313,Sonatube,-1.968242,30.094179
24762314,Unknown,-1.965953,30.103275
24762315,Unknown,-1.962297,30.120775
24762316,Unknown,-1.969717,30.122047
24762317,Unknown,-1.971682,30.132614
24762318,Unknown,-1.976257,30.134863
24762319,Unknown,-1.978888,30.133896
24762320,Rubirizi,-1.985488,30.131882
22606517,inkurunziza,-1.956145,30.060999
22606518,rwandex,-1.969382,30.086849
22606519,Unknown,-1.965693,30.103354
22606520,Unknown,-1.965427,30.103518
22606521,Unknown,-1.960338,30.115259
22606522,kukibuga cyindenge,-1.962107,30.134413
22606523,Unknown,-1.965813,30.146856
22606524,Unknown,-1.972773,30.159910
22606525,Unknown,-1.976508,30.167753
22606526,kanombe tax park,-1.976845,30.170300
22650532,CBD,-1.944111,30.056324
22650533,Unknown,-1.954113,30.057870
22650534,Unknown,-1.957496,30.059549
22650535,Unknown,-1.956091,30.060990
22650536,Unknown,-1.950550,30.059630
22650537,Unknown,-1.950511,30.060183
22650538,Unknown,-1.944423,30.058921
22650539,Unknown,-1.969377,30.086653
22650540,Unknown,-1.965909,30.103221
22650541,Unknown,-1.960538,30.114348
22650542,Unknown,-1.963494,30.129791
22650543,Unknown,-1.962185,30.134238
22650544,Unknown,-1.965266,30.140887
22650545,Unknown,-1.969517,30.156060
22650546,Unknown,-1.972652,30.159726
22650547,kanombe,-1.976252,30.167305
22650548,Kibaya,-1.985734,30.179100
22653693,Kanombe,-1.975567,30.166042
22653694,Unknown,-1.972532,30.159496
22653695,Unknown,-1.971983,30.158640
22653696,Unknown,-1.968257,30.153404
22653697,Unknown,-1.966128,30.146273
22653698,Unknown,-1.964673,30.140446
22653699,Unknown,-1.961950,30.134953
22653700,Unknown,-1.960048,30.115679
22653701,Unknown,-1.961183,30.112192
22653702,Unknown,-1.962617,30.109257
22653703,Unknown,-1.968303,30.101572
22653704,rwandex,-1.969185,30.086792
22653705,Unknown,-1.967507,30.082829
22653706,Unknown,-1.957243,30.076036
22653707,Unknown,-1.950570,30.072838
22653708,Unknown,-1.945980,30.066845
22653709,Unknown,-1.943403,30.061066
22653710,downtown bus stop,-1.944240,30.056988
22653711,Unknown,-1.945387,30.054564
22653712,Unknown,-1.957018,30.059153
22659738,kanombe tax park,-1.975643,30.166056
22659739,kumurenge tax park,-1.972618,30.159702
22659740,kugasaraba tax park,-1.968257,30.153633
22659741,Unknown,-1.966100,30.146347
22659742,airport tax park,-1.961935,30.135098
22659743,sonatube tax park,-1.968185,30.101767
22659744,Unknown,-1.968063,30.094223
22659745,rwandex tax park,-1.969197,30.086754
22659746,kumazi tax park,-1.957452,30.076200
22659747,kwarubangura tax park,-1.943433,30.061216
22659748,BCD,-1.944278,30.057053
22815296,Remera bus park,-1.958768,30.119280
22815297,Unknown,-1.953100,30.101530
22815298,Unknown,-1.941297,30.088596
22815299,kacyiru,-1.936472,30.081024
22815300,Unknown,-1.929727,30.069317
22815301,kinamba,-1.931522,30.063164
22815302,Nyabugogo bus park,-1.940758,30.044708
22914178,Remera taxi park,-1.958758,30.119268
22914179,Chez lando,-1.959722,30.108301
22914180,Gishushu,-1.953158,30.101595
22914181,King faysal,-1.945212,30.094227
