fare_id,price,currency_type,payment_method,transfers,agency_id
0,220,RWF,0,0,1
1,517,RWF,0,0,1
2,341,RWF,0,0,1
3,363,RWF,0,0,1
4,253,RWF,0,0,1
5,194,RWF,0,0,1
6,273,RWF,0,0,1
7,185,RWF,0,0,1
8,219,RWF,0,0,1
10,297,RWF,0,0,1
11,165,RWF,0,0,1
12,163,RWF,0,0,1
13,250,RWF,0,0,1
17,286,RWF,0,0,2
18,277,RWF,0,0,2
19,299,RWF,0,0,2
20,268,RWF,0,0,2
21,271,RWF,0,0,2
22,208,RWF,0,0,2
23,200,RWF,0,0,2
25,259,RWF,0,0,2
26,272,RWF,0,0,2
27,231,RWF,0,0,2
28,289,RWF,0,0,2
29,286,RWF,0,0,3
30,253,RWF,0,0,3
31,216,RWF,0,0,3
32,264,RWF,0,0,3
34,341,RWF,0,0,3
35,242,RWF,0,0,3
36,275,RWF,0,0,3
37,108,RWF,0,0,3
38,244,RWF,0,0,3
39,326,RWF,0,0,3
41,297,RWF,0,0,3
42,176,RWF,0,0,3
43,220,RWF,0,0,3
44,272,RWF,0,0,3
45,268,RWF,0,0,3
46,277,RWF,0,0,3
47,222,RWF,0,0,3
