route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
101,1,101,KBS - Zone I - 101,3,Remera Taxi Park-Sonatubes-Rwandex-CBD
102,1,102,KBS - Zone I - 102,3,Kabuga-Mulindi-Remera-Sonatubes-Rwandex Nyabugogo Taxi Park
103,1,103,KBS - Zone I - 103,3,Rubilizi-Kabeza-Remera-Sonatubes-Rwandex-CBD
104,1,104,KBS - Zone I - 104,3,Kibaya-Kanombe MH-Airport-Remera-Sonatubes-Rwandex-CBD
105,1,105,KBS - Zone I - 105,3,Remera Taxi Park-Chez Lando-Kacyiru-NyabugogoTaxi Park
106,1,106,KBS - Zone I - 106,3,Remera Taxi Park-15-Ndera-Musave
107,1,107,KBS - Zone I - 107,3,Remera Taxi Park-Mulindi-Masaka
108,1,108,KBS - Zone I - 108,3,RemeraTaxi Park-Sonatubes-NyanzaTaxi Park
109,1,109,KBS - Zone I - 109,3,Remera Taxi Park-Sonatubes-Rwandex-Gikondo (Nyenyeli)-Bwerankoli
111,1,111,KBS - Zone I - 111,3,Kabuga-Mulindi-Remera Taxi Park
112,1,112,KBS - Zone I - 112,3,RemeraTaxi Park-Sonatubes-Rwandex-Nyabugogo Taxi Park
113,1,113,KBS - Zone I - 113,3,Busanza-Rubilizi-Kabeza-Remera Taxi Park
114,1,114,KBS - Zone I - 114,3,Kibaya-Kanombe MH-Airport-RemeraTaxi Park
115,1,115,KBS - Zone I - 115,3,Remera Taxi Park-Airport-Busanza
301,3,301,RFTC - Zone III and IV - 301,3,Kinyinya - Nyarutarama - RDB - Kimihurura -Down Town Taxi Park
302,3,302,RFTC - Zone III and IV - 302,3,Kimironko-Stadium - Chez Lando - Kimihurura - CBD
303,3,303,RFTC - Zone III and IV - 303,3,Batsinda - Kagugu - Gakiriro - Kinamba - Down Town Taxi Park
304,3,304,RFTC - Zone III and IV - 304,3,Kacyiru - Kimihurura - Down Town Taxi Park
305,3,305,RFTC - Zone III and IV - 305,3,Kimironko taxi park - Stadium - Chez Lando - Kacyiru - Nyabugogo Taxi Park
306,3,306,RFTC - Zone III and IV - 306,3,Kimironko Taxi Park - Zindiro - Masizi - Birembo
308,3,308,RFTC - Zone III and IV - 308,3,AZAM Roundabout-Contrôle Technique-Chez Lando - Kimihurura - CBD
309,3,309,RFTC - Zone III and IV - 309,3,Kimironko Taxi Park- Kibagabaga - Kinyinya
310,3,310,RFTC - Zone III and IV - 310,3,Batsinda - Kagugu - Gakiriro - Kinamba - Nyabugogo Taxi Park
311,3,311,RFTC - Zone III and IV - 311,3,Kagugu - Bel Etoile - ULK - Kinamba - Nyabugogo Taxi Park
313,3,313,RFTC - Zone III and IV - 313,3,Kagugu - Bel Etoile - ULK - Kinamba - Down Town Taxi Park
314,3,314,RFTC - Zone III and IV - 314,3,Nyabugogo Taxi Park - Kinamba - UTEXRWA - Kibagabaga-Kimironko
315,3,315,RFTC - Zone III and IV - 315,3,Kinyinya - Utexrwa - Kinamba - Nyabugogo Taxi Park
316,3,316,RFTC - Zone III and IV - 316,3,AZAM Roundabout - Kimironko Taxi Park
317,3,317,RFTC - Zone III and IV - 317,3,Kinyinya - UTEXRWA - Kinamba - Down Town Taxi Park
318,3,318,RFTC - Zone III and IV - 318,3,Batsinda - Kagugu - Kibagabaga - Kimironko Taxi Park
321,3,321,RFTC - Zone III and IV - 321,3,Nyabugogo taxi park - Batsinda - Gasanze
322,3,322,RFTC - Zone III and IV - 322,3,Kimironko Taxi Park - Mulindi - Masaka
325,3,325,RFTC - Zone III and IV - 325,3,Kabuga - Kigali Parent School - Kimironko Taxi Park
401,3,401,RFTC - Zone III and IV - 401,3,Nyamirambo (Ryanyuma) - Rafiki - Camp Kigali -CBD
402,3,402,RFTC - Zone III and IV - 402,3,Nyamirambo (Ryanyuma) - Kimisagara-Nyabugogo-Down Town Taxi park- Down Town Taxi Park
403,3,403,RFTC - Zone III and IV - 403,3,Nyacyonga - Karuruma-Muhima - Down Town Taxi Park
404,3,404,RFTC - Zone III and IV - 404,3,Bishenyi - Ruyenzi-Giticyinyoni - Nyabugogo
406,3,406,RFTC - Zone III and IV - 406,3,Nyamirambo- Rwarutabura - Mageragere
411,3,411,RFTC - Zone III and IV - 411,3,Nyabugogo Taxi Park – Giticyinyoni-Nzove -Rutonde
412,3,412,RFTC - Zone III and IV - 412,3,Nyabugogo Taxi Park - Giticyinyoni
414,3,414,RFTC - Zone III and IV - 414,3,Nyabugogo taxi park - Ruliba-Karama Complex School
320,3,320,RFTC - Zone III and IV - 320,3,
201,2,201,ROYAL - Zone II - 201,3,St. Joseph – Kikukiro Centre de Santé – Sonatubes – Rwandex - CBD
202,2,202,ROYAL - Zone II - 202,3,
203,2,203,ROYAL - Zone II - 203,3,Nyanza Taxi Park-Gatenga Magerwa - Down Town Taxi Park
204,2,204,ROYAL - Zone II - 204,3,Nyanza Taxi Park-Zion Temple – Rwandex - Nyabugogo Taxi Park
205,2,205,ROYAL - Zone II - 205,3,Bwerankoli – Gikondo (Nyenyeli) – Rwampara – Rugunga - Down Town Taxi Park
206,2,206,ROYAL - Zone II - 206,3,Bwerankoli – Gikondo (Nyenyeli) – Rwampara – Rugunga - Nyabugogo Taxi Park
207,2,207,ROYAL - Zone II - 207,3,Nyanza-Kicukiro Centre-Kagarama-Muyange
208,2,208,ROYAL - Zone II - 208,3,Nyanza Taxi Park - Gahanga
211,2,211,ROYAL - Zone II - 211,3,Nyanza Bus Park – Kicukiro Centre– Prince House-Chez Lando- Kacyiru
212,2,212,ROYAL - Zone II - 212,3,St. Joseph – Kicukiro Centre de Santé – Sonatubes – Rwandex - Nyabugogo Taxi Park
213,2,213,ROYAL - Zone II - 213,3,Nyanza Taxi Park- Kicukiro Centre - Prince House – Chez Lando – Stadium – Kimironko Taxi Park
214,2,214,ROYAL - Zone II - 214,3,Nyanza Taxi Park-Gatenga Magerwa -NyabugogoTaxi Park
