route_id,service_id,trip_id,direction_id,shape_id
101,0,24626201,0,24626201
101,0,24729990,0,24729990
101,0,22907888,1,22907888
101,0,24727494,1,24727494
102,0,22466898,1,22466898
102,0,22568033,1,22568033
102,0,22557966,0,22557966
102,0,22563430,0,22563430
103,0,22545179,0,22545179
103,1,24761099,0,24761099
103,0,22545740,1,22545740
103,1,24762307,1,24762307
104,0,22606516,0,22606516
104,0,22650531,0,22650531
104,0,22653692,1,22653692
104,0,22659737,1,22659737
105,1,22815295,0,22815295
105,0,22914177,0,22914177
105,0,22858730,1,22858730
105,0,22880072,1,22880072
106,0,22460236,0,22460236
106,0,22616458,0,22616458
106,0,22456199,1,22456199
106,1,24854113,1,24854113
107,0,22745731,0,22745731
107,1,23406988,0,23406988
107,0,22744464,1,22744464
107,0,22746118,1,22746118
108,0,22900952,0,22900952
108,0,22910865,0,22910865
108,0,22833076,1,22833076
108,1,24759581,1,24759581
109,0,24479581,0,24479581
109,0,24525946,0,24525946
109,0,24479959,1,24479959
109,0,24645379,1,24645379
111,1,23390885,0,23390885
111,0,24545024,0,24545024
111,0,24499652,1,24499652
111,0,24556508,1,24556508
112,0,22908330,0,22908330
112,1,24738485,0,24738485
112,0,22898167,1,22898167
112,1,24725073,1,24725073
113,0,24610588,0,24610588
113,0,24611698,0,24611698
113,1,22795775,1,22795775
113,1,22798960,1,22798960
114,0,22669178,0,22669178
114,1,23569151,0,23569151
114,0,22706520,1,22706520
114,1,23524706,1,23524706
115,0,22839901,0,22839901
115,0,22924771,0,22924771
115,0,24608911,1,24608911
115,1,24781133,1,24781133
301,0,23223285,0,23223285
301,1,28077962,0,28077962
301,0,23698892,1,23698892
301,0,23981218,1,23981218
302,0,23143399,0,23143399
302,1,27358787,0,27358787
302,0,23032461,1,23032461
302,0,23265833,1,23265833
303,0,25358733,0,25358733
303,0,25564210,0,25564210
303,0,25385522,1,25385522
303,1,27492632,1,27492632
304,0,24657395,0,24657395
304,0,24660999,0,24660999
304,0,24656721,1,24656721
304,0,24661865,1,24661865
305,0,24226103,0,24226103
305,0,24318247,0,24318247
305,0,24220729,1,24220729
305,0,24303004,1,24303004
306,0,25353167,0,25353167
306,1,28227766,0,28227766
306,0,25324131,1,25324131
306,0,25456901,1,25456901
308,0,24040042,0,24040042
308,0,24048407,0,24048407
308,0,24047869,1,24047869
308,0,24040934,1,24040934
309,0,23236016,0,23236016
309,0,23232858,0,23232858
309,0,23235772,1,23235772
309,1,26131992,1,26131992
310,0,25783526,0,25783526
310,0,25808782,0,25808782
310,0,25803610,1,25803610
310,0,26774340,1,26774340
311,0,25314203,0,25314203
311,0,25573281,0,25573281
311,0,25314875,1,25314875
311,0,25573730,1,25573730
313,0,25464868,0,25464868
313,1,27326512,0,27326512
313,0,25581876,1,25581876
313,1,27313786,1,27313786
314,0,24244264,0,24244264
314,0,24634937,0,24634937
314,0,25345899,1,25345899
314,1,26162997,1,26162997
315,0,23968249,0,23968249
315,1,26180684,0,26180684
315,0,23972265,1,23972265
315,0,23966979,1,23966979
316,0,25514856,0,25514856
316,0,25488036,0,25488036
316,0,25471750,1,25471750
316,0,25488099,1,25488099
317,0,23992821,0,23992821
317,1,27645031,0,27645031
317,0,23991722,1,23991722
317,0,23999128,1,23999128
318,0,25010950,0,25010950
318,1,27614862,0,27614862
318,0,24352583,1,24352583
318,0,25153005,1,25153005
320,0,24497924,0,24497924
320,1,27578553,0,27578553
320,1,27578830,1,27578830
320,1,27580974,1,27580974
321,0,24363478,0,24363478
321,0,24367472,0,24367472
321,0,24363321,1,24363321
321,0,24367304,1,24367304
322,0,23668060,0,23668060
322,1,28197116,0,28197116
322,0,23824221,1,23824221
322,0,24142896,1,24142896
325,0,25742380,0,25742380
325,0,26051028,1,26051028
325,1,28105095,1,28105095
325,0,25998884,1,25998884
401,0,25917096,0,25917096
401,0,26064787,0,26064787
401,0,25660061,1,25660061
401,0,25953908,1,25953908
402,0,24993122,0,24993122
402,0,25172530,0,25172530
402,0,24990657,1,24990657
402,0,25238372,1,25238372
403,0,23854602,0,23854602
403,0,23954919,0,23954919
403,0,23716488,1,23716488
403,0,25272373,1,25272373
404,0,25150264,0,25150264
404,0,25253074,0,25253074
404,0,25187743,1,25187743
404,0,25221862,1,25221862
406,0,24379868,0,24379868
406,1,26356944,0,26356944
406,0,24207838,1,24207838
406,1,26413903,1,26413903
411,0,23962803,0,23962803
411,1,26476542,0,26476542
411,0,23963410,1,23963410
411,1,26285406,1,26285406
412,0,24972655,0,24972655
412,0,24972584,1,24972584
414,0,27046259,0,27046259
414,0,27120442,0,27120442
414,0,27047789,1,27047789
414,0,26832312,1,26832312
412,0,30459522,0,30459522
412,0,30460935,1,30460935
201,0,26826089,0,26826089
201,0,27164682,0,27164682
201,0,26869680,1,26869680
201,0,27100624,1,27100624
201,0,27165745,1,27165745
202,1,27839639,0,27839639
202,1,27843548,0,27843548
202,1,27842080,1,27842080
203,0,26778634,0,26778634
203,0,27073354,0,27073354
203,0,26814279,1,26814279
203,0,27104598,1,27104598
204,0,26523456,0,26523456
204,1,27798411,0,27798411
204,1,27757287,1,27757287
204,1,27886596,1,27886596
205,0,26833912,0,26833912
205,0,27064162,0,27064162
205,0,26833148,1,26833148
205,0,27063257,1,27063257
206,0,26831221,0,26831221
206,0,26906569,0,26906569
206,0,26842431,1,26842431
206,0,27069854,1,27069854
207,0,26638219,0,26638219
207,0,26640802,0,26640802
207,0,26637213,1,26637213
207,0,26641140,1,26641140
208,0,26658503,0,26658503
208,1,27791814,0,27791814
208,0,26658370,1,26658370
208,0,26660365,1,26660365
211,0,26557141,0,26557141
211,0,26602242,0,26602242
211,0,26558099,1,26558099
211,0,26603202,1,26603202
212,0,26546120,0,26546120
212,0,26635072,0,26635072
212,0,26548064,1,26548064
212,0,26609457,1,26609457
213,0,26799498,0,26799498
213,0,27183007,0,27183007
213,0,26921620,1,26921620
213,0,26923960,1,26923960
214,0,26565033,0,26565033
214,0,26656921,0,26656921
214,0,26525928,1,26525928
214,0,26768403,1,26768403
215,0,26876606,0,26876606
215,0,27161599,0,27161599
215,0,26860345,1,26860345
215,1,27721013,1,27721013
